date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:41	144/144	---MCZ	200	added ('OK')	text/plain	etag:W/%22e45c3bfca89de7b491c749d31c48e567%22	https://slowroads.io/robots.txt		(from )
17:29:41	3771/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2014:29:13%20GMT	https://slowroads.io/	P:/Website/Slowroads/slowroads.io/index.html	(from )
17:29:41	2575/2575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2272bea8a15072d6341f9c0f001d2e3049%22	https://slowroads.io/favicon_circle.svg	P:/Website/Slowroads/slowroads.io/favicon_circle.svg	(from https://slowroads.io/)
17:29:42	107529/107529	---M--	200	added ('OK')	image/jpeg	etag:%22aef2e051105ae4827391bbadb1df3fa6%22	https://slowroads.io/img.jpg	P:/Website/Slowroads/slowroads.io/img.jpg	(from https://slowroads.io/)
17:29:42	250/250	---MCZ	200	added ('OK')	application/json	etag:W/%22afed284f8dca734fe6850ff76825d2a6%22	https://slowroads.io/manifest.json	P:/Website/Slowroads/slowroads.io/manifest.json	(from https://slowroads.io/)
17:29:42	970/970	---MCZ	200	added ('OK')	text/javascript	etag:W/%22809b0efcd9a25106543890610b8ff335%22	https://slowroads.io/alea.min.js	P:/Website/Slowroads/slowroads.io/alea.min.js	(from https://slowroads.io/)
17:29:42	37385/37385	---MCZ	200	added ('OK')	text/css	etag:W/%2205be168869ce12ad6b752c4b216df871%22	https://slowroads.io/static/css/main.8b77de6a.chunk.css	P:/Website/Slowroads/slowroads.io/static/css/main.8b77de6a.chunk.css	(from https://slowroads.io/)
17:29:42	664078/664078	---MCZ	200	added ('OK')	text/javascript	etag:W/%227967bdfb233f454cff14cb875e1f17b6%22	https://slowroads.io/static/js/2.feea8a5f.chunk.js	P:/Website/Slowroads/slowroads.io/static/js/2.feea8a5f.chunk.js	(from https://slowroads.io/)
17:29:43	694204/694204	---MCZ	200	added ('OK')	text/javascript	etag:W/%2282430107bed901febc924404321598cf%22	https://slowroads.io/static/js/main.ca6b3355.chunk.js	P:/Website/Slowroads/slowroads.io/static/js/main.ca6b3355.chunk.js	(from https://slowroads.io/)
17:29:43	138656/138656	---M--	200	added ('OK')	text/html	etag:%227b61f0e5447c7f602969b8bd69a42062%22	https://slowroads.io/static/media/Dosis.3e75d17d.ttf	P:/Website/Slowroads/slowroads.io/static/media/Dosis.3e75d17d.html	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:43	42756/42756	---M--	200	added ('OK')	text/html	etag:%22412a52b398efbb40af7261f50a312c57%22	https://slowroads.io/static/media/ShareTech.8b302ac6.ttf	P:/Website/Slowroads/slowroads.io/static/media/ShareTech.8b302ac6.html	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:43	256680/256680	---M--	200	added ('OK')	text/html	etag:%22d93fc49a3ce474c03743b9f26e1dbcfe%22	https://slowroads.io/static/media/Jura.8b933881.ttf	P:/Website/Slowroads/slowroads.io/static/media/Jura.8b933881.html	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:44	80493/80493	---M--	200	added ('OK')	image/png	etag:%22de474a14914f1d3dc90ff4576684f2cd%22	https://slowroads.io/static/media/topo-square-25.cd7675a0.png	P:/Website/Slowroads/slowroads.io/static/media/topo-square-25.cd7675a0.png	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:44	97625/97625	---M--	200	added ('OK')	image/png	etag:%22470beabe892599d54df188c8bc4fb654%22	https://slowroads.io/static/media/topo-square-50.f77c3cfe.png	P:/Website/Slowroads/slowroads.io/static/media/topo-square-50.f77c3cfe.png	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:44	168116/168116	---M--	200	added ('OK')	image/png	etag:%22e661403c7a04d60347c94dea975c36c6%22	https://slowroads.io/static/media/topo_square.f6d19013.png	P:/Website/Slowroads/slowroads.io/static/media/topo_square.f6d19013.png	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
17:29:45	109992/109992	---M--	200	added ('OK')	image/png	etag:%22002ba172533d028767c6f03a5171aaff%22	https://slowroads.io/static/media/topo-square.f230fa4a.png	P:/Website/Slowroads/slowroads.io/static/media/topo-square.f230fa4a.png	(from https://slowroads.io/static/css/main.8b77de6a.chunk.css)
